SampleID,sample_nr,treatment,timepoint,well,technical_replicate,acq_volume,cells_acq_volume,cells_per_ml,lna_acq_volume,lna_per_ml,hna_acq-volume,hna_per_ml,hna_pct,sample_volume_ml
ABOR.S006,S006,ctrl,0,C1,1,50,4010,401,3004,60080,1006,20120,25.09,200
ABOR.S006,S006,ctrl,0,C2,2,50.1,4242,423.3532934,3159,63053.89222,1083,21616.76647,25.53,200
ABOR.S015,S015,ctrl,72,C1,1,50,6912,2764.8,3507,70140,3405,68100,49.26,50
ABOR.S015,S015,ctrl,72,C2,2,50.1,6898,2753.692614,3311,66087.82435,3587,71596.80639,52,50
ABOR.S017,S017,glucose,72,C3,1,50.1,20810,8307.38523,13005,259580.8383,7805,155788.4232,37.51,50
ABOR.S017,S017,glucose,72,C4,2,50.1,22918,9148.902196,12838,256247.505,10080,201197.6048,43.98,50
ABOR.S019,S019,acetate,72,C5,1,50.1,43129,17217.16567,10796,215489.022,32333,645369.2615,74.97,50
ABOR.S019,S019,acetate,72,C6,2,50,42515,17006,11294,225880,31221,624420,73.44,50
ABOR.S021,S021,fulvic_acid,72,C7,1,50.1,13200,5269.461078,4728,94371.25749,8472,169101.7964,64.18,50
ABOR.S021,S021,fulvic_acid,72,C8,2,50.1,13141,5245.908184,4919,98183.63273,8222,164111.7764,62.57,50
ABOR.S023,S023,phosphate,72,C9,1,50.1,14301,5708.982036,4126,82355.28942,10175,203093.8124,71.15,50
ABOR.S023,S023,phosphate,72,C10,2,50.1,13665,5455.08982,3680,73453.09381,9985,199301.3972,73.07,50
ABOR.S034,S034,ctrl,0,C1,1,50,4180,278.6666667,3099,61980,1081,21620,25.86,300
ABOR.S034,S034,ctrl,0,C2,2,50,4361,290.7333333,3272,65440,1089,21780,24.97,300
ABOR.S039,S039,ctrl,72,C1,1,50,7320,2928,3340,66800,3980,79600,54.37,50
ABOR.S039,S039,ctrl,72,C2,2,50.1,7136,2848.702594,2804,55968.06387,4332,86467.06587,60.71,50
ABOR.S041,S041,glucose,72,C3,1,50.1,15478,6178.842316,3169,63253.49301,12309,245688.6228,79.53,50
ABOR.S041,S041,glucose,72,C4,2,50.1,15260,6091.816368,3313,66127.74451,11947,238463.0739,78.29,50
ABOR.S043,S043,acetate,72,C5,1,50.2,6415,2555.776892,2231,44442.23108,4184,83346.61355,65.22,50
ABOR.S043,S043,acetate,72,C6,2,50,5936,2374.4,2081,41620,3855,77100,64.94,50
ABOR.S045,S045,fulvic_acid,72,C7,1,50,8841,3536.4,3110,62200,5731,114620,64.82,50
ABOR.S045,S045,fulvic_acid,72,C8,2,50.1,8559,3416.766468,2856,57005.98802,5703,113832.3353,66.63,50
ABOR.S047,S047,phosphate,72,C9,1,50.5,4027,1594.851485,1942,38455.44554,2085,41287.12871,51.78,50
ABOR.S047,S047,phosphate,72,C10,2,50.1,3859,1540.518962,1787,35668.66267,2072,41357.28543,53.69,50