Kingdom,Phylum,Class,Order,Family,Tax_label,ELLY27.29,ELLY31.33,ELLY36.38,ELLY40.42,ELLY52.54,ELLY56.58,ELLY61.63,ELLY65.67
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,*Flavobacterium*,19.45,7.41,16.39,16.99,3.12,1.79,23.31,27.92
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Genus of *Comamonadaceae*,3.52,3.19,16.39,22.47,3.18,2.22,12.96,3.06
Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,Genus of *Anaerolineaceae*,2.52,2.21,4.13,0.12,6.3,5.66,1.09,0.08
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,*Sphingopyxis*,0.25,0.43,0.94,9.58,1.1,0.78,4.27,4.7
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,*Candidatus_Accumulibacter*,3.52,3.51,1.51,0.27,6.17,4.94,0.89,0.23
Bacteria,Proteobacteria,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,*Rheinheimera*,0.5,0.18,0.8,4.63,2.63,0.43,3.14,8.34
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Genus of *Neisseriaceae*,7.1,6.38,0.32,0.22,0.86,0.72,0.13,0.12
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,*Limnobacter*,0.41,0.5,4.96,0.74,0.22,0.66,0.12,7.02
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,*Prosthecobacter*,1.56,2.56,4.2,1.28,1.56,1.1,1.63,0.5
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,*Dechloromonas*,2.21,1.86,1.01,0.13,4.02,4.3,0.34,0.05
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,*Pseudomonas*,0.23,0.26,0.14,4.22,1.15,0.52,0.48,6.58
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,NS11-12_marine_group,*Sphingobacteriales* (*NS11-12_marine_group*),0.57,0.7,1.44,1.47,0.51,0.32,8.01,0.4
Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,*Nitrospira*,0.69,2.99,1.4,0.42,2.63,3.19,0.45,0.06
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,*Zoogloea*,1.58,2,1.02,0.24,2.27,2.19,0.59,0.45
Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,*Unknown_Family*,4.3,5.22,0.14,0.15,0.12,0.13,0,0.01
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,*Emticicia*,0.14,0.26,1.63,2.93,0.12,0.06,0.12,4.43
Bacteria,Cyanobacteria,Vampirivibrionia,Obscuribacterales,Obscuribacteraceae,*Candidatus_Obscuribacter*,0.98,2.01,0.73,0.61,0.94,3.39,0.47,0.14
Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,Saccharimonadales,*Saccharimonadales*,5.48,1.53,1.01,0.17,0.37,0.17,0.05,0.09
Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,*Romboutsia*,0.95,2.5,0.65,0.89,0.62,2.51,0.32,0.12
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,*Nitrosomonas*,0.97,1.56,0.98,0.11,1.56,1.83,0.56,0.04
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,*Ferribacterium*,1.27,1.07,0.82,0.09,1.83,2.13,0.11,0.02
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,*Herminiimonas*,0.05,0.04,0.05,1.81,0.09,0.06,0.16,4.72
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Genus of *Saprospiraceae*,0.67,0.92,0.91,0.08,2.34,1.53,0.46,0.03
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Hydrogenophaga*,0.36,0.33,0.15,1.88,0.35,0.24,0.64,2.86
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,*Sediminibacterium*,0.78,0.89,0.5,1.01,0.54,0.36,0.84,1.12
Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,*Clostridiaceae* (*Clostridium_sensu_stricto_1*),0.7,1.75,0.41,0.58,0.44,1.57,0.19,0.08
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Rhodoferax*,0.88,0.89,0.65,0.22,1.4,1.01,0.54,0.07
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Methylophilaceae,*Methylotenera*,0.1,0.09,0.13,0.73,0.09,0.06,0.23,4.2
Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Solimonadaceae,Genus of *Solimonadaceae*,0.52,0.62,0.59,0.41,0.74,0.44,1.82,0.47
Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,Genus of *Rubinisphaeraceae*,0.31,0.84,0.83,0.22,0.96,1.51,0.6,0.11
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,*Novosphingobium*,0.25,0.29,1.79,0.31,0.29,0.24,1.52,0.25
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Family of Chitinophagales,Genus of *Chitinophagales*,0.74,0.65,0.5,0.04,0.78,0.57,1.04,0.23
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,*Candidatus_Megaira*,0.42,0.53,0.22,0.14,1.07,1.58,0.47,0.04
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,*Pedosphaeraceae* (*SH3-11*),0.69,0.84,1.25,0.19,0.45,0.36,0.55,0.09
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,NS9_marine_group,*Flavobacteriales* (*NS9_marine_group*),0.33,0.31,0.36,0.06,0.6,0.78,1.87,0.05
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Leptothrix*,0.19,1.13,0.77,0.04,0.86,0.29,1.02,0.03
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,*Edaphobaculum*,0.46,0.69,0.74,0.94,0.29,0.28,0.73,0.16
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,*Sphingorhabdus*,0.55,0.54,0.51,0.6,0.54,0.7,0.39,0.47
Bacteria,Planctomycetota,OM190,OM190,OM190,*Planctomycetota* (*OM190*),0.46,0.88,1.14,0.17,0.46,0.68,0.26,0.08
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,Genus of *Verrucomicrobiaceae*,0.4,0.91,1.09,0.09,0.36,0.21,0.76,0.3
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,*Pedosphaeraceae* (*DEV114*),0.44,0.61,1.59,0.07,0.37,0.54,0.12,0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,*Polynucleobacter*,0.38,0.34,0.51,1.03,0.19,0.21,0.89,0.18
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Genus of *Oxalobacteraceae*,0.06,0.08,0.3,0.15,0.04,0.02,0.06,2.99
Bacteria,Patescibacteria,Parcubacteria,Candidatus_Nomurabacteria,Candidatus_Nomurabacteria,*Candidatus_Nomurabacteria*,1.12,0.41,0.19,0.05,0.97,0.15,0.69,0.08
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Genus of *Rhodocyclaceae*,0.63,0.52,0.22,0.11,1.03,0.98,0.14,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,Genus of *Rickettsiaceae*,0.35,0.42,0.47,0.27,0.75,0.88,0.37,0.09
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,*Ferruginibacter*,0.44,0.54,0.45,0.18,0.61,0.92,0.32,0.07
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,env.OPS_17,*Sphingobacteriales* (*env.OPS_17*),0.51,0.33,0.49,0.05,0.63,0.41,0.7,0.38
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,*Pedosphaeraceae*,0.21,0.4,0.83,0.06,0.75,0.72,0.45,0.07
Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,*Pirellula*,0.1,0.3,0.17,0.05,0.72,1.41,0.53,0.05
Bacteria,Dependentiae,Babeliae,Babeliales,Vermiphilaceae,*Vermiphilaceae*,0.11,0.23,0.1,0.11,0.58,1.58,0.44,0.12
Bacteria,Proteobacteria,Alphaproteobacteria,Caedibacterales,Caedibacteraceae,*Caedibacter*,0.13,0.53,0.07,0.03,0.75,1.55,0.14,0.04
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,*Hirschia*,0.27,0.3,0.55,0.75,0.41,0.48,0.2,0.19
Bacteria,Myxococcota,Polyangia,Blfdi19,Blfdi19,*Polyangia* (*Blfdi19*),0.05,0.08,0.05,0.01,0.75,1.9,0.08,0.04
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,*Sulfuritalea*,0.56,0.43,0.17,0,0.86,0.73,0.2,0.01
Bacteria,Patescibacteria,Parcubacteria,Parcubacteria,Parcubacteria,*Parcubacteria*,0.95,0.24,0.23,0,0.75,0.05,0.56,0.05
Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,*Haliangium*,0.42,0.56,0.3,0.08,0.52,0.66,0.13,0.16
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,*Brevundimonas*,0.05,0.08,0.06,0.9,0.15,0.02,0.61,0.93
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Malikia*,0.28,0.39,0.16,1.67,0.13,0.1,0.05,0
Bacteria,Proteobacteria,Alphaproteobacteria,Reyranellales,Reyranellaceae,*Reyranella*,0.2,0.32,0.2,0.89,0.15,0.12,0.42,0.41
Bacteria,Proteobacteria,Gammaproteobacteria,Cellvibrionales,Cellvibrionaceae,*Cellvibrio*,0.74,0.32,0.05,0.04,1.07,0.22,0.09,0.1
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,*Rhodobacter*,0.11,0.27,0.33,0.53,0.26,0.36,0.44,0.31
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,*Bosea*,0.03,0.03,0.02,0.71,0.08,0,0.74,0.96
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,*Terrimonas*,0.34,0.41,0.4,0.15,0.39,0.48,0.14,0.22
Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Genus of *Pirellulaceae*,0.1,0.52,0.22,0.17,0.34,0.85,0.24,0.08
Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,Holosporaceae,Genus of *Holosporaceae*,0.38,0.71,0.34,0.09,0.24,0.55,0.05,0.01
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,*Undibacterium*,0.16,0.22,0.13,0.47,0.47,0.5,0.15,0.26
Bacteria,Proteobacteria,Gammaproteobacteria,Salinisphaerales,Solimonadaceae,*Nevskia*,0.4,0.64,0.27,0.22,0.26,0.2,0.11,0.18
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,*Thauera*,0.65,0.69,0.09,0.1,0.34,0.26,0.08,0.06
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Aquabacterium*,0.41,0.33,0.04,0.21,0.46,0.42,0.18,0.21
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,AKYH767,*Sphingobacteriales* (*AKYH767*),0.34,0.37,0.24,0.01,0.53,0.6,0.1,0
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,*Haliscomenobacter*,0.12,0.23,0.39,0.17,0.48,0.32,0.22,0.21
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,*Pseudorhodobacter*,0.1,0.14,0.14,1.3,0.1,0.06,0.24,0.04
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,Genus of *Pedosphaeraceae*,0.22,0.31,0.32,0,0.55,0.59,0.12,0
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,*Microscillaceae* (*OLB12*),0.26,0.27,0.49,0.09,0.41,0.39,0.12,0.02
Bacteria,Proteobacteria,Class of Proteobacteria,Order of Proteobacteria,Family of Proteobacteria,Genus of *Proteobacteria*,0.36,0.53,0.25,0.1,0.03,0,0.26,0.47
Bacteria,Proteobacteria,Alphaproteobacteria,Holosporales,Holosporaceae,*Candidatus_Gortzia*,1.05,0.81,0.05,0.04,0,0.02,0,0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,*Cupriavidus*,0.02,0.03,0,0.08,0.01,0.03,0.02,1.67
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Acidovorax*,0.27,0.2,0.06,0.7,0.22,0.2,0.09,0.12
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Sphingobacteriaceae,*Pedobacter*,0.17,0.36,0.14,0.24,0.12,0.05,0.13,0.62
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Limnohabitans*,0.11,0.17,0.11,0.7,0.07,0.07,0.39,0.17
Bacteria,Proteobacteria,Gammaproteobacteria,Gammaproteobacteria_Incertae_Sedis,Unknown_Family,*Candidatus_Ovatusbacter*,0.03,0.15,0,0.06,0.25,0.62,0.65,0.02
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,*Phenylobacterium*,0.08,0.14,0.23,0.28,0.09,0.05,0.22,0.67
Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,*Candidatus_Finniella*,0.17,0.27,0.33,0.15,0.19,0.38,0.22,0.03
Bacteria,Actinobacteriota,Actinobacteria,Order of Actinobacteria,Family of Actinobacteria,Genus of *Actinobacteria*,0.29,0.32,0.07,0.05,0.51,0.29,0.17,0.01
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,*Dokdonella*,0.11,0.18,0.24,0.05,0.42,0.59,0.11,0.01
Bacteria,Proteobacteria,Gammaproteobacteria,CHAB-XI-27,CHAB-XI-27,*Gammaproteobacteria* (*CHAB-XI-27*),0.31,0.34,0.71,0.25,0.04,0.02,0.01,0.01
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,*Acinetobacter*,0.69,0.29,0.07,0.15,0.27,0.14,0.03,0.03
Bacteria,Proteobacteria,Alphaproteobacteria,Paracaedibacterales,Paracaedibacteraceae,Genus of *Paracaedibacteraceae*,0.19,0.32,0.26,0.17,0.12,0.24,0.34,0.02
Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,*[Agitococcus]_lubricus_group*,0.59,0.24,0.05,0.04,0.27,0.12,0.12,0.21
Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Family of Planctomycetales,Genus of *Planctomycetales*,0.05,0.38,0.16,0.22,0.22,0.31,0.25,0.02
Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,Genus of *Caldilineaceae*,0.11,0.2,0.17,0,0.5,0.47,0.13,0.02
Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Genus of *Sphingomonadaceae*,0.09,0.25,0.13,0.38,0.23,0.24,0.14,0.14
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Genus of *Chitinophagaceae*,0.14,0.18,0.14,0.04,0.44,0.24,0.23,0.03
Bacteria,Bacteroidota,Kapabacteria,Kapabacteriales,Kapabacteriales,*Kapabacteriales*,0.26,0.17,0.23,0.02,0.37,0.13,0.2,0.06
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Delftia*,0,0,0,0.57,0,0,0.01,0.83
Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,*Pirellulaceae* (*Pir4_lineage*),0.05,0.2,0.1,0.09,0.17,0.54,0.21,0.04
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Comamonas*,0.03,0.04,0,0.57,0.35,0.04,0.14,0.23
Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,*Bdellovibrio*,0.46,0.27,0.1,0,0.36,0.2,0.01,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiales_Incertae_Sedis,Genus of *Rhizobiales_Incertae_Sedis*,0.13,0.21,0.26,0.08,0.24,0.3,0.14,0.02
Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,*Rubinisphaeraceae* (*SH-PL14*),0.1,0.24,0.3,0.12,0.2,0.27,0.13,0.02
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,*Hyphomicrobium*,0.11,0.12,0.24,0.04,0.2,0.4,0.2,0.06
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,*Alcaligenaceae* (*GKS98_freshwater_group*),0.09,0.15,0.05,0.12,0.05,0.05,0.78,0.06
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,*Nitrosomonadaceae* (*oc32*),0.08,0.1,0.26,0.19,0.17,0.12,0.18,0.2
Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,AB1,*Rickettsiales* (*AB1*),0.13,0.18,0.51,0.4,0.02,0.04,0.03,0
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Pedosphaerales,Pedosphaeraceae,*Oikopleura*,0.1,0.14,0.23,0.04,0.24,0.35,0.19,0
Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Genus of *Rhodobacteraceae*,0.15,0.21,0.23,0.23,0.18,0.15,0.08,0.05
Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,*Tetrasphaera*,0.13,0.2,0.09,0,0.32,0.44,0.03,0
Bacteria,Spirochaetota,Leptospirae,Leptospirales,Leptospiraceae,*Leptospira*,0.7,0.11,0.06,0,0.16,0.15,0,0.01
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,*Brevifollis*,0.09,0.23,0.13,0.15,0.14,0.08,0.16,0.21
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Pseudohongiellaceae,*Pseudohongiella*,0.16,0.28,0.19,0.2,0.13,0.1,0.06,0.05
Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Crocinitomicaceae,*Fluviicola*,0.08,0.09,0.19,0.18,0.06,0.04,0.41,0.1
Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,37-13,*Chitinophagales* (*37-13*),0.17,0.21,0.15,0.02,0.27,0.11,0.21,0.02
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prolixibacteraceae,Genus of *Prolixibacteraceae*,0.11,0.16,0.04,0,0.41,0.42,0.02,0
Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,LiUU-11-161,*Sphingobacteriales* (*LiUU-11-161*),0.16,0.18,0.08,0,0.33,0.28,0.11,0.01
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Genus of *Rhizobiaceae*,0.11,0.15,0.19,0.12,0.17,0.18,0.18,0.03
Bacteria,Verrucomicrobiota,Verrucomicrobiae,Opitutales,Opitutaceae,*Lacunisphaera*,0.11,0.14,0.16,0,0.24,0.29,0.1,0.03
Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,A0839,*Rhizobiales* (*A0839*),0.03,0.3,0.05,0.04,0.3,0.17,0.17,0
Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Hyphomonadaceae,*Hyphomonadaceae* (*SWB02*),0.02,0.15,0.11,0.19,0.24,0.19,0.15,0.01
Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,*Legionella*,0.09,0.11,0.5,0.05,0.09,0.17,0.04,0.01
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,*Propionivibrio*,0.09,0.11,0.05,0,0.4,0.37,0.03,0
Bacteria,Proteobacteria,Gammaproteobacteria,Acidithiobacillales,Acidithiobacillaceae,*Acidithiobacillaceae* (*KCM-B-112*),0.05,0.39,0,0,0.4,0.2,0.01,0
Bacteria,Chloroflexi,Anaerolineae,1-20,1-20,*Anaerolineae* (*1-20*),0.07,0.15,0.19,0.02,0.31,0.24,0.05,0.03
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,*Sutterellaceae* (*AAP99*),0.17,0.16,0.15,0.01,0.23,0.15,0.15,0
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,*Arenimonas*,0.05,0.24,0.07,0.16,0.12,0.2,0.18,0
Bacteria,Bdellovibrionota,Bdellovibrionia,Bdellovibrionales,Bdellovibrionaceae,*Bdellovibrionaceae* (*OM27_clade*),0.11,0.18,0.07,0.04,0.22,0.15,0.1,0.12
Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,*Streptococcus*,0.41,0.22,0.02,0.03,0.22,0.06,0,0.01
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Genus of *Rhodanobacteraceae*,0.12,0.16,0.09,0,0.19,0.29,0.06,0.01
Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,*Trichococcus*,0.28,0.25,0.04,0.02,0.18,0.13,0.02,0
Bacteria,Proteobacteria,Gammaproteobacteria,Oceanospirillales,Halomonadaceae,*Halomonas*,0.13,0.23,0.09,0,0.22,0.2,0.03,0.01
Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,*Stenotrophomonas*,0.01,0.03,0.01,0.24,0.2,0.1,0.17,0.15
Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Microscillaceae,Genus of *Microscillaceae*,0.1,0.13,0.18,0.01,0.2,0.19,0.09,0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Gallionellaceae,*Candidatus_Nitrotoga*,0.07,0.12,0.09,0,0.36,0.2,0.04,0
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Ideonella*,0.12,0.18,0.07,0,0.23,0.17,0.12,0
Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Genus of *Microtrichaceae*,0.1,0.13,0.09,0,0.23,0.27,0.04,0
Bacteria,Proteobacteria,Gammaproteobacteria,Order of Gammaproteobacteria,Family of Gammaproteobacteria,Genus of *Gammaproteobacteria*,0.17,0.26,0.05,0.06,0.1,0.16,0.04,0
Bacteria,Myxococcota,Polyangia,Polyangiales,Sandaracinaceae,Genus of *Sandaracinaceae*,0.12,0.07,0.09,0.02,0.15,0.21,0.1,0.08
Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,*Variovorax*,0.22,0.23,0.12,0,0.16,0,0.08,0
